PassengerId,Survived,Pclass,Sex,Age,Fare
1,0,T,male,22,7.25
2,1,P,female,38,71.2833
3,1,T,female,26,7.925
4,1,P,female,35,53.1
5,0,T,male,35,8.05
6,0,T,male,,8.4583
7,0,P,male,54,51.8625
8,0,T,male,2,21.075
9,1,T,female,27,11.1333
10,1,S,female,14,30.0708
11,1,T,female,4,16.7
12,1,P,female,58,26.55
13,0,T,male,20,8.05
14,0,T,male,39,31.275
15,0,T,female,14,7.8542
16,1,S,female,55,16
17,0,T,male,2,29.125
18,1,S,male,,13
19,0,T,female,31,18
20,1,T,female,,7.225
21,0,S,male,35,26
22,1,S,male,34,13
23,1,T,female,15,8.0292
24,1,P,male,28,35.5
25,0,T,female,8,21.075
26,1,T,female,38,31.3875
27,0,T,male,,7.225
28,0,P,male,19,263
29,1,T,female,,7.8792
30,0,T,male,,7.8958
31,0,P,male,40,27.7208
32,1,P,female,,146.5208
33,1,T,female,,7.75
34,0,S,male,66,10.5
35,0,P,male,28,82.1708
36,0,P,male,42,52
37,1,T,male,,7.2292
38,0,T,male,21,8.05
39,0,T,female,18,18
40,1,T,female,14,11.2417
41,0,T,female,40,9.475
42,0,S,female,27,21
43,0,T,male,,7.8958
44,1,S,female,3,41.5792
45,1,T,female,19,7.8792
46,0,T,male,,8.05
47,0,T,male,,15.5
48,1,T,female,,7.75
49,0,T,male,,21.6792
50,0,T,female,18,17.8
51,0,T,male,7,39.6875
52,0,T,male,21,7.8
53,1,P,female,49,76.7292
54,1,S,female,29,26
55,0,P,male,65,61.9792
56,1,P,male,,35.5
57,1,S,female,21,10.5
58,0,T,male,28.5,7.2292
59,1,S,female,5,27.75
60,0,T,male,11,46.9
61,0,T,male,22,7.2292
62,1,P,female,38,80
63,0,P,male,45,83.475
64,0,T,male,4,27.9
65,0,P,male,,27.7208
66,1,T,male,,15.2458
67,1,S,female,29,10.5
68,0,T,male,19,8.1583
69,1,T,female,17,7.925
70,0,T,male,26,8.6625
71,0,S,male,32,10.5
72,0,T,female,16,46.9
73,0,S,male,21,73.5
74,0,T,male,26,14.4542
75,1,T,male,32,56.4958
76,0,T,male,25,7.65
77,0,T,male,,7.8958
78,0,T,male,,8.05
79,1,S,male,0.83,29
80,1,T,female,30,12.475
81,0,T,male,22,9
82,1,T,male,29,9.5
83,1,T,female,,7.7875
84,0,P,male,28,47.1
85,1,S,female,17,10.5
86,1,T,female,33,15.85
87,0,T,male,16,34.375
88,0,T,male,,8.05
